date,price
1/25/17,1.4128
1/24/17,1.4212
1/23/17,1.4164
1/22/17,1.4241
1/21/17,1.4263
1/20/17,1.4259
1/19/17,1.4264
1/18/17,1.4291
1/17/17,1.4159
1/16/17,1.4303
1/15/17,1.4287
1/14/17,1.4286
1/13/17,1.4281
1/12/17,1.4274
1/11/17,1.4269
1/10/17,1.4363
1/9/17,1.4352
1/8/17,1.4393
1/7/17,1.4388
1/6/17,1.4389
1/5/17,1.4286
1/4/17,1.439
1/3/17,1.4501
1/2/17,1.4503
1/1/17,1.4488
12/31/16,1.4471
12/30/16,1.4471
12/29/16,1.448
12/28/16,1.4504
12/27/16,1.4504
12/26/16,1.4474
12/25/16,1.4445
12/24/16,1.4474
12/23/16,1.4474
12/22/16,1.4502
12/21/16,1.4454
12/20/16,1.4454
12/19/16,1.449
12/18/16,1.4451
12/17/16,1.444
12/16/16,1.444
12/15/16,1.4431
12/14/16,1.4382
12/13/16,1.4246
12/12/16,1.4237
12/11/16,1.4324
12/10/16,1.4305
12/9/16,1.4307
12/8/16,1.4241
12/7/16,1.4169
12/6/16,1.4213
12/5/16,1.4188
12/4/16,1.4242
12/3/16,1.4195
12/2/16,1.4195
12/1/16,1.426
11/30/16,1.4339
11/29/16,1.4249
11/28/16,1.4237
11/27/16,1.4279
11/26/16,1.4277
11/25/16,1.4277
11/24/16,1.4323
11/23/16,1.4321
11/22/16,1.424
11/21/16,1.4229
11/20/16,1.4267
11/19/16,1.4259
11/18/16,1.4259
11/17/16,1.4223
11/16/16,1.4141
11/15/16,1.4144
11/14/16,1.4146
11/13/16,1.4136
11/12/16,1.4129
11/11/16,1.4123
11/10/16,1.4116
11/9/16,1.3988
11/8/16,1.3879
11/7/16,1.3897
11/6/16,1.3858
11/5/16,1.3832
11/4/16,1.3832
11/3/16,1.3839
11/2/16,1.3845
11/1/16,1.3879
10/31/16,1.3913
10/30/16,1.3924
10/29/16,1.3923
10/28/16,1.3923
10/27/16,1.3948
10/26/16,1.3909
10/25/16,1.3898
10/24/16,1.3935
10/23/16,1.3943
10/22/16,1.3942
10/21/16,1.3942
10/20/16,1.3918
10/19/16,1.3869
10/18/16,1.3861
10/17/16,1.3886
10/16/16,1.3904
10/15/16,1.3904
10/14/16,1.3904
10/13/16,1.3822
10/12/16,1.3842
10/11/16,1.3797
10/10/16,1.375
10/9/16,1.3733
10/8/16,1.3731
10/7/16,1.3731
10/6/16,1.3724
10/5/16,1.3695
10/4/16,1.3707
10/3/16,1.3652
10/2/16,1.3632
10/1/16,1.3632
9/30/16,1.3632
9/29/16,1.3642
9/28/16,1.3591
9/27/16,1.3597
9/26/16,1.3602
9/25/16,1.3593
9/24/16,1.3593
9/23/16,1.3593
9/22/16,1.3557
9/21/16,1.3546
9/20/16,1.3622
9/19/16,1.3619
9/18/16,1.3682
9/17/16,1.3682
9/16/16,1.3682
9/15/16,1.3624
9/14/16,1.3637
9/13/16,1.3666
9/12/16,1.3566
9/11/16,1.3598
9/10/16,1.3589
9/9/16,1.3586
9/8/16,1.351
9/7/16,1.3474
9/6/16,1.3467
9/5/16,1.3571
9/4/16,1.3598
9/3/16,1.3603
9/2/16,1.3603
9/1/16,1.3595
8/31/16,1.3626
8/30/16,1.3642
8/29/16,1.3597
8/28/16,1.3594
8/27/16,1.3592
8/26/16,1.3592
8/25/16,1.3534
8/24/16,1.3545
8/23/16,1.3515
8/22/16,1.3509
8/21/16,1.3471
8/20/16,1.3466
8/19/16,1.3466
8/18/16,1.3393
8/17/16,1.3427
8/16/16,1.3399
8/15/16,1.3432
8/14/16,1.3461
8/13/16,1.3461
8/12/16,1.3461
8/11/16,1.3434
8/10/16,1.341
8/9/16,1.3444
8/8/16,1.3466
8/7/16,1.3461
8/6/16,1.3463
8/5/16,1.3463
8/4/16,1.3421
8/3/16,1.3419
8/2/16,1.3402
8/1/16,1.342
7/31/16,1.3407
7/30/16,1.3399
7/29/16,1.3399
7/28/16,1.3537
7/27/16,1.3534
7/26/16,1.3585
7/25/16,1.3616
7/24/16,1.3588
7/23/16,1.359
7/22/16,1.359
7/21/16,1.3554
7/20/16,1.3574
7/19/16,1.3536
7/18/16,1.348
7/17/16,1.347
7/16/16,1.3478
7/15/16,1.3475
7/14/16,1.3432
7/13/16,1.3468
7/12/16,1.3464
7/11/16,1.3514
7/10/16,1.3454
7/9/16,1.3454
7/8/16,1.3458
7/7/16,1.3506
7/6/16,1.3502
7/5/16,1.3509
7/4/16,1.3457
7/3/16,1.3458
7/2/16,1.346
7/1/16,1.346
6/30/16,1.3472
6/29/16,1.3482
6/28/16,1.3539
6/27/16,1.3627
6/26/16,1.3558
6/25/16,1.3531
